ID,Amount.Requested,Interest.Rate,Loan.Length,Debt.To.Income.Ratio,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance
2746,4200,14.11%,36 months,4.62%,MORTGAGE,1558.42,675,6,2255
95637,3800,21.98%,36 months,8.31%,RENT,4333.33,680,6,4843
53567,2000,15.31%,36 months,21.43%,RENT,2766.67,670,5,2162
77867,6000,14.09%,36 months,24.25%,RENT,4000,680,12,24934
65121,21000,19.05%,60 months,16.24%,RENT,8416.67,685,8,8764
41900,2500,13.49%,36 months,6.24%,RENT,5416.67,680,8,15373
33269,2400,16.77%,36 months,17%,RENT,2700,690,3,3418
48581,13000,10.74%,36 months,15.46%,RENT,2166.67,720,4,11101
52893,4800,14.65%,36 months,13.90%,RENT,5000,665,8,7391
36929,17475,9.91%,36 months,17.76%,RENT,3333.33,730,15,17261
57431,16450,21.97%,60 months,25.59%,MORTGAGE,2833.33,670,23,12670
40879,14000,14.65%,36 months,3.47%,MORTGAGE,8750,680,6,9035
57586,2500,17.27%,36 months,11.34%,MORTGAGE,5833.33,665,8,14122
62177,8000,18.49%,36 months,14.45%,RENT,4166.67,660,10,9425
6020,5000,12.53%,36 months,21.49%,RENT,3108.33,705,8,0
73741,15000,13.11%,36 months,12.78%,RENT,9000,690,19,11016
32694,25000,12.69%,60 months,3.83%,MORTGAGE,22916.67,720,13,34069
71766,3000,8.90%,36 months,32%,RENT,1000,700,7,9730
83373,6000,7.90%,36 months,33.64%,RENT,4116.67,705,16,33746
37504,7800,10.65%,36 months,7.15%,MORTGAGE,4000,720,6,11063
95455,25000,7.90%,36 months,18.66%,MORTGAGE,7083.33,710,17,47504
63,18500,15.33%,36 months,5.24%,RENT,7500,660,8,22379
26789,12000,12.99%,60 months,16.67%,MORTGAGE,9166.67,710,11,25165
28032,5000,15.99%,36 months,5.26%,MORTGAGE,2416.67,665,5,1620
24454,2500,10.59%,60 months,2.15%,OWN,3958,745,4,3417
44163,16000,16.29%,60 months,5.76%,MORTGAGE,5083.33,710,7,8729
89884,25000,15.31%,60 months,3.98%,RENT,5666.67,745,6,11079
28601,2000,16.89%,36 months,11.91%,RENT,3400,660,3,747
99913,2200,10.16%,36 months,24.15%,MORTGAGE,3400,730,6,1453
7880,14000,10.25%,36 months,9.26%,MORTGAGE,8333.33,730,8,40267
64020,3000,13.11%,36 months,32.21%,MORTGAGE,2583.33,670,13,6683
36527,11425,9.91%,36 months,19.47%,MORTGAGE,4750,730,9,6359
72604,17325,17.27%,60 months,30.24%,RENT,3750,705,13,31362
29547,5425,8.49%,36 months,21.16%,MORTGAGE,6333.33,730,21,25996
49950,20000,22.78%,60 months,1.63%,RENT,12500,665,5,5407
34331,3300,11.71%,36 months,4.16%,RENT,3730,700,7,3675
94232,2000,17.27%,36 months,20.51%,MORTGAGE,3750,670,10,1371
98787,26500,13.11%,36 months,13.99%,RENT,5833.33,745,8,64504
52440,17975,18.55%,36 months,18.55%,RENT,4833.33,670,10,17448
2443,15000,13.47%,36 months,14.06%,RENT,4458.33,700,15,7701
52407,16400,13.99%,60 months,23.60%,RENT,3500,725,11,16693
46391,13500,13.99%,60 months,12.59%,MORTGAGE,8833.33,700,11,18978
32183,12000,15.27%,36 months,3.90%,RENT,7083.33,670,7,6040
52061,16750,21.48%,60 months,21.88%,RENT,2833.33,665,12,7903
5531,8000,12.18%,36 months,1.24%,RENT,1125,745,2,707
51087,10000,9.76%,36 months,14.08%,MORTGAGE,5416.67,710,8,10560
11132,10000,15.21%,36 months,10.93%,RENT,7083,670,13,11890
7752,5525,13.85%,36 months,21.03%,MORTGAGE,6620,720,8,37573
30788,17200,19.69%,60 months,9.95%,RENT,3666.67,705,4,2117
77919,19600,16.29%,36 months,29.38%,RENT,4166.67,680,17,22053
4841,4000,11.48%,36 months,22.93%,MORTGAGE,3833.33,715,9,0
48151,13000,13.11%,36 months,10.58%,RENT,5000,735,3,11090
2885,8000,9.63%,36 months,0.24%,RENT,4250,790,4,132
647,25000,10.08%,36 months,10.42%,MORTGAGE,7916.67,755,23,16386
9495,20000,10.25%,36 months,11.35%,RENT,7083.33,750,14,18196
92367,27575,17.27%,60 months,18.28%,MORTGAGE,7833.33,680,20,28055
100674,24000,14.33%,36 months,15.86%,MORTGAGE,7500,670,5,2426
62867,7000,18.49%,36 months,15.92%,RENT,5000,660,11,13665
32444,12000,16.77%,60 months,10.71%,MORTGAGE,3500,685,6,26874
33119,14000,19.03%,60 months,13.52%,MORTGAGE,3616,670,9,13923
4730,10000,11.14%,36 months,12.92%,RENT,2500,725,8,14257
84738,7750,6.03%,36 months,22.01%,RENT,4766.67,780,14,4667
58490,15000,13.67%,36 months,17.19%,OWN,3333.33,690,8,10820
12015,15000,11.86%,36 months,12.20%,MORTGAGE,5000,705,9,3470
71758,25000,15.31%,36 months,13%,RENT,5416.67,685,10,22824
19344,15000,14.91%,60 months,8.08%,MORTGAGE,4407,720,8,15818
56528,5000,16.29%,36 months,16.06%,MORTGAGE,8750,660,12,19598
17236,5000,12.98%,36 months,17.29%,MORTGAGE,3250,665,18,4656
99541,35000,15.31%,36 months,15%,RENT,6666.67,680,22,33472
1977,7500,15.37%,36 months,17.50%,OWN,5000,675,11,16422
15197,25000,10.36%,60 months,16.26%,MORTGAGE,3333.33,765,6,22713
11620,3800,11.12%,36 months,15.45%,MORTGAGE,5416.67,700,11,9266
73232,2800,8.90%,36 months,27.76%,RENT,3250,700,13,22401
27317,6250,7.49%,36 months,23.97%,MORTGAGE,2900,730,13,21536
38774,18000,9.91%,36 months,11.85%,MORTGAGE,3333.33,725,13,10416
73956,6000,17.27%,36 months,29.13%,RENT,2752.92,660,12,4569
77363,20000,14.09%,36 months,34.91%,MORTGAGE,4583.33,710,8,6510
71926,8000,11.14%,36 months,23.93%,RENT,2666.67,700,11,10128
46024,12000,6.62%,36 months,4.81%,MORTGAGE,9833.33,790,15,5584
11376,24000,11.12%,60 months,11.99%,OWN,5686.67,775,6,1726
13393,3000,11.49%,36 months,9.22%,RENT,4900,690,6,3996
26533,5000,6.99%,36 months,8.51%,MORTGAGE,3750,745,12,3998
48955,21850,13.99%,60 months,17.95%,RENT,3750,730,5,7102
95456,21850,23.28%,60 months,26.95%,MORTGAGE,5833.33,675,21,29643
102846,10000,13.47%,36 months,14.20%,MORTGAGE,6666.67,690,8,126402
2074,15000,15.68%,36 months,2.68%,OWN,2500,680,6,3004
23197,9600,7.29%,36 months,9.66%,RENT,6048,740,7,15700
44626,25000,20.50%,36 months,14.72%,RENT,7301.58,670,18,21675
10262,25000,11.49%,60 months,4.95%,MORTGAGE,3333.33,780,9,3367
37041,30000,7.90%,36 months,0.34%,RENT,13416.67,810,9,2174
24376,20000,16.89%,60 months,6.83%,OWN,4000,700,6,5845
57260,14825,13.67%,36 months,9.55%,RENT,2500,695,8,8073
81130,8000,17.27%,36 months,1.98%,MORTGAGE,6000,670,5,5032
38892,20000,11.71%,36 months,14.95%,MORTGAGE,10416.67,720,12,26179
35468,7000,7.90%,36 months,20.96%,OWN,2300,765,4,0
7173,20000,10.62%,36 months,12.58%,MORTGAGE,2416.67,760,5,6011
102295,5000,11.03%,36 months,0.47%,RENT,3166.67,680,5,4254
99065,17625,13.11%,36 months,14.88%,RENT,3333.33,675,6,20266
53234,7150,13.11%,36 months,12.33%,RENT,3666.67,685,11,10561
16215,25000,10.36%,36 months,0.94%,RENT,8533.33,720,9,28038
77494,15000,14.33%,36 months,33.42%,RENT,4500,675,20,13369
66072,9000,6.62%,36 months,13.85%,RENT,4166.67,765,5,7853
6976,17600,16.35%,36 months,17.35%,MORTGAGE,7500,665,16,14555
22259,10000,12.68%,36 months,13.96%,RENT,2500,690,6,10481
15470,11200,15.20%,60 months,16.47%,MORTGAGE,6750,675,15,19051
84805,13225,15.31%,36 months,27.07%,RENT,5833.33,680,11,18569
69014,4000,11.14%,36 months,33.80%,MORTGAGE,3333.33,700,12,12922
26886,12000,10.99%,36 months,9.46%,MORTGAGE,12083.33,720,7,43299
71550,35000,19.05%,36 months,21.12%,MORTGAGE,13750,735,38,99549
8051,25000,14.59%,36 months,24.64%,RENT,8750,705,11,20798
56595,9000,6.03%,36 months,12.23%,MORTGAGE,5000,750,13,5224
48498,18225,12.12%,36 months,20.87%,MORTGAGE,4850,700,7,37592
10737,4750,14.72%,36 months,3%,OWN,866.67,660,6,740
48798,14400,6.62%,36 months,6.71%,MORTGAGE,12500,770,6,1280
94440,30000,23.76%,60 months,14.25%,RENT,6928.13,660,6,28665
46421,13475,12.12%,36 months,19.46%,MORTGAGE,2250,715,3,11674
90531,10000,19.05%,36 months,17.95%,MORTGAGE,3750,675,10,7034
51302,12000,6.62%,36 months,9.46%,MORTGAGE,5833.33,740,9,12028
28257,6000,16.89%,60 months,18.39%,RENT,3083,695,3,1181
104101,9500,6.54%,36 months,14.43%,MORTGAGE,7500,725,13,100233
12958,12000,10.38%,60 months,16.98%,MORTGAGE,3791.67,780,10,59495
49872,5000,8.90%,36 months,15.93%,MORTGAGE,6666.67,705,10,12307
26290,3600,8.90%,36 months,3.27%,RENT,1558.33,745,4,1594
43703,27000,14.27%,60 months,18.28%,OWN,4833.33,735,18,12588
32985,10000,14.27%,36 months,10.97%,RENT,7500,665,6,7778
80200,5450,13.11%,36 months,25.91%,RENT,3500,670,9,7619
22130,16000,15.28%,60 months,15.33%,MORTGAGE,3006.44,700,10,11011
74163,9750,17.27%,36 months,21.93%,RENT,2817.5,670,12,6324
35740,30000,7.51%,36 months,1.08%,OWN,10416.67,785,6,740
74713,14000,12.12%,36 months,3.25%,MORTGAGE,6250,705,14,7085
52405,8500,6.62%,36 months,4.90%,MORTGAGE,4166.67,740,8,7114
54513,14400,7.90%,36 months,17.89%,RENT,13100,745,11,14550
10293,8000,7.14%,36 months,1.73%,RENT,3750,765,6,3381
66880,12000,13.11%,36 months,6.46%,RENT,13166.67,680,8,8426
96709,10400,13.11%,36 months,7.59%,OWN,6166.67,695,10,14193
84273,21000,18.75%,60 months,11.31%,MORTGAGE,10250,695,12,38820
6120,6000,11.83%,36 months,3.44%,RENT,6333.33,705,13,7269
48166,10800,13.67%,60 months,0.94%,RENT,7500,730,4,1577
67265,2100,14.33%,36 months,3.50%,OWN,1000,690,13,893
41102,4000,6.03%,36 months,15.13%,MORTGAGE,6583.33,770,6,63294
47422,3500,7.62%,36 months,20.93%,RENT,4333.33,725,9,11538
6039,24250,12.53%,36 months,12.70%,OWN,18750,725,10,121563
62856,19000,14.33%,60 months,16.06%,MORTGAGE,5000,715,8,20918
7020,10500,15.33%,36 months,14.30%,RENT,3083.33,670,8,14726
92641,2500,18.49%,36 months,22.49%,MORTGAGE,3916.67,670,7,14892
7953,16000,14.59%,36 months,9.47%,RENT,5416.67,690,9,15518
101568,3000,13.75%,36 months,19.30%,RENT,1000,665,12,2545
27693,10000,5.42%,36 months,10.41%,MORTGAGE,7500,780,11,11532
70029,7100,14.09%,36 months,19.22%,RENT,4166.67,685,13,6788
3492,12500,9.32%,36 months,11.71%,MORTGAGE,4166.67,780,7,1052
45115,1700,13.99%,36 months,20.67%,OWN,1200,675,10,7382
96928,4000,11.14%,36 months,12.20%,MORTGAGE,6666.67,670,7,7153
51257,18225,17.99%,36 months,23.35%,RENT,3083.33,675,6,17128
92820,30000,16.29%,60 months,20.28%,RENT,13666.67,735,14,39059
17826,10000,6.54%,36 months,17.05%,RENT,6916.67,730,6,10302
66186,6000,7.90%,36 months,2.51%,RENT,7500,720,5,6394
73450,6000,12.12%,36 months,7.40%,MORTGAGE,5000,675,6,14045
96780,6000,15.80%,36 months,19.56%,OWN,1666.67,675,7,5291
62089,7000,17.77%,36 months,18.15%,RENT,4750,665,11,12307
60963,10000,15.31%,36 months,9.55%,OWN,4166.67,670,11,11551
8291,3250,12.73%,36 months,21.44%,MORTGAGE,5000,675,12,20564
100221,30000,19.72%,60 months,21.92%,RENT,10416.67,685,11,61661
22790,21000,11.11%,36 months,16.53%,MORTGAGE,18750,700,13,120538
93403,11000,7.62%,36 months,12.35%,OWN,7666.67,735,6,12461
7687,5500,7.14%,36 months,19.86%,MORTGAGE,3916.67,750,15,10254
59279,15000,7.90%,36 months,5.59%,RENT,2916.67,770,13,14290
32146,20000,19.91%,60 months,17.49%,MORTGAGE,7916.67,670,17,39621
311,7200,8.07%,36 months,17%,MORTGAGE,5100,760,4,9366
38432,4000,18.64%,60 months,19.15%,RENT,4000,675,9,16543
59266,20000,8.90%,36 months,11.01%,MORTGAGE,7083.33,730,13,28324
75012,15000,12.12%,36 months,19.16%,RENT,5000,705,18,13830
4502,8000,11.83%,36 months,8.12%,RENT,5417,730,5,43799
21574,15000,19.74%,60 months,16.80%,MORTGAGE,5833.33,660,14,8587
93066,8000,11.14%,36 months,11.59%,RENT,7000,685,7,4729
100114,20675,14.33%,36 months,23.12%,MORTGAGE,4333.33,710,12,8393
92036,30000,15.31%,60 months,16.99%,MORTGAGE,8500,695,10,33770
21190,12000,7.66%,36 months,13.31%,MORTGAGE,5416.67,740,8,9993
30864,5000,9.99%,36 months,21.33%,RENT,5316.67,695,7,23818
68722,4750,8.90%,36 months,0.56%,OWN,2833.33,760,2,767
57199,6500,12.12%,36 months,24.97%,OWN,3500,680,7,6948
30560,21600,10.59%,36 months,9.40%,MORTGAGE,9000,720,16,43362
3656,1900,12.84%,36 months,23.29%,MORTGAGE,2860,670,9,24209
45245,6000,7.90%,36 months,6.68%,RENT,10416.67,710,9,20592
45994,8500,7.62%,36 months,13.67%,RENT,4333.33,720,11,15284
60625,9250,12.12%,36 months,29.46%,MORTGAGE,3333.33,685,10,5440
33630,1875,13.49%,36 months,18.83%,RENT,1200,675,8,5342
102314,2500,12.61%,36 months,3.78%,MORTGAGE,1930.75,675,4,1548
2386,10000,13.47%,36 months,5.59%,RENT,4583,690,6,2432
30138,25000,15.23%,60 months,17.97%,MORTGAGE,8917,730,10,22566
28764,5000,13.99%,60 months,11.29%,MORTGAGE,3083,710,5,1073
12007,6000,13.61%,60 months,20.85%,MORTGAGE,2700,695,10,10932
9061,10000,14.22%,36 months,12.24%,RENT,2541.67,680,4,13667
79907,5375,6.62%,36 months,20.93%,RENT,3000,730,7,5640
17217,19000,16.32%,60 months,22.41%,RENT,4333.33,700,5,23016
3893,5500,11.89%,36 months,17.94%,RENT,3583.33,695,8,5668
52929,10000,10.74%,36 months,18.15%,RENT,5833.33,700,10,16894
10205,8800,13.11%,60 months,2.88%,MORTGAGE,2500,740,3,607
13809,9500,15.95%,60 months,24.88%,RENT,6000,705,6,14621
16035,12000,5.79%,36 months,9.49%,MORTGAGE,6700,765,20,11686
43936,16500,11.71%,36 months,11.05%,MORTGAGE,7250,725,8,17247
36217,25000,11.71%,60 months,13.42%,MORTGAGE,6250,755,5,18591
91571,24000,12.12%,36 months,16.24%,RENT,4500,700,8,29098
16414,7000,10.36%,36 months,13.94%,RENT,5000,690,5,1364
37386,1200,18.25%,36 months,24.12%,RENT,1700,660,2,0
96208,24175,13.11%,36 months,7.66%,RENT,6250,710,8,4681
52255,2800,7.90%,36 months,17.16%,RENT,3583.33,720,12,5182
33923,4000,11.71%,60 months,13.17%,RENT,3500,705,6,5915
93139,10000,12.12%,36 months,10.88%,MORTGAGE,7500,665,6,24924
60943,7125,10.16%,36 months,4.95%,RENT,2946.67,710,6,5015
797,10000,8.32%,36 months,6.25%,MORTGAGE,6666.67,750,10,3248
98156,10000,13.11%,36 months,5.30%,RENT,6250,695,5,9620
61906,4400,15.31%,36 months,21.51%,RENT,4625,670,8,5707
85861,10000,12.12%,36 months,11.52%,RENT,4166.67,710,7,9817
98601,9450,12.12%,36 months,33.62%,RENT,2750,700,17,14246
58433,3500,7.62%,36 months,1.83%,MORTGAGE,7500,765,4,6944
40639,24000,12.69%,60 months,21.59%,MORTGAGE,10000,725,17,42996
31995,11750,10.99%,36 months,10.30%,RENT,4583.33,700,6,5613
60151,30000,10.16%,36 months,2.21%,MORTGAGE,9583.33,765,7,4454
60695,12000,18.75%,36 months,27.32%,MORTGAGE,13333.33,665,18,62069
88646,13000,14.09%,36 months,17.99%,MORTGAGE,7916.67,695,14,10723
103384,5000,13.48%,36 months,11.21%,RENT,3800,710,4,1575
87526,15000,14.33%,36 months,16.15%,RENT,9166.67,700,15,24563
20799,16000,13.43%,60 months,6.80%,MORTGAGE,5000,745,10,1132
24675,12000,15.23%,60 months,13.91%,MORTGAGE,7083.33,705,7,3923
25786,35000,15.23%,60 months,22.74%,MORTGAGE,10000,760,13,13651
76078,30000,22.95%,60 months,30.56%,RENT,7500,685,12,29756
6363,24250,12.18%,36 months,21.90%,OWN,5000,740,15,100842
40971,16000,6.03%,36 months,6.07%,RENT,12916.67,790,8,26635
3755,9000,15.05%,36 months,23.75%,RENT,5166.67,675,7,15149
12350,17000,11.12%,60 months,17.91%,MORTGAGE,8500,750,9,10324
17,5400,7.75%,36 months,3%,RENT,666.67,760,4,1321
79041,12000,12.12%,36 months,26.96%,RENT,3833.33,690,15,6038
57986,2000,17.27%,36 months,8.64%,RENT,1666.67,670,5,4595
40027,24000,12.69%,36 months,19.53%,RENT,4583.33,710,5,21377
80804,16800,22.47%,60 months,13.55%,MORTGAGE,4000,660,12,12179
62160,3000,17.27%,36 months,22.87%,RENT,2750,660,9,7648
39128,3500,12.69%,36 months,5.36%,MORTGAGE,7083,665,6,11616
22200,4000,7.66%,36 months,20.92%,MORTGAGE,3600,725,4,594
68824,16000,16.29%,36 months,32.91%,OWN,3333.33,695,10,24134
21164,8800,18.25%,60 months,13.89%,RENT,2916.67,685,5,7794
67672,19725,7.90%,36 months,6.46%,MORTGAGE,6916.67,755,9,16173
42953,19750,15.96%,36 months,24.14%,MORTGAGE,5166.67,680,12,33368
18017,19750,20.77%,60 months,14.85%,RENT,4000,670,4,1948
17955,10000,16.32%,36 months,1.69%,MORTGAGE,10000,695,3,5624
1034,5000,8.63%,36 months,1.92%,RENT,2600,730,13,814
62763,9600,6.62%,36 months,3.82%,RENT,4333.33,760,7,1039
65518,30000,21.49%,60 months,15.32%,MORTGAGE,12500,705,12,24124
39131,7000,12.42%,36 months,15.11%,RENT,7083.33,685,15,16049
54010,8400,10.74%,36 months,7.82%,RENT,2083.33,720,7,4282
66459,5600,14.33%,36 months,25.29%,RENT,3333.33,675,8,17471
9839,20000,7.88%,60 months,12.51%,MORTGAGE,19583,790,9,5213
56271,15000,12.12%,36 months,3.41%,RENT,3166.67,720,5,3338
13609,17500,13.23%,60 months,23.03%,RENT,3500,735,6,17734
51025,32400,12.12%,60 months,1.28%,MORTGAGE,8750,790,4,7
80125,12000,12.12%,36 months,10.84%,RENT,7083.33,685,11,20601
104069,10000,14.09%,36 months,16.40%,RENT,2250,680,3,13398
9162,12300,7.88%,36 months,22.14%,MORTGAGE,4738.67,745,18,10666
93455,15000,11.14%,36 months,15.51%,MORTGAGE,8750,690,9,15207
102308,5000,11.97%,36 months,20.76%,RENT,2500,685,14,14536
86201,20000,13.11%,36 months,14.87%,RENT,14166.67,695,17,34115
72515,21725,16.29%,36 months,29.11%,MORTGAGE,9166.67,695,15,68397
23214,5000,10.00%,60 months,9.28%,RENT,4000,735,6,3448
86134,10300,8.90%,36 months,33.37%,MORTGAGE,2583.33,715,19,12475
70024,14400,20.49%,36 months,18.84%,MORTGAGE,4166.67,660,7,10042
31014,15000,16.49%,36 months,14.92%,RENT,6294.25,680,11,20270
89438,35000,19.72%,60 months,22.38%,MORTGAGE,13333.33,690,12,46937
80444,7000,15.80%,36 months,11.53%,MORTGAGE,3166.67,675,11,6658
34262,12500,15.96%,60 months,13.87%,RENT,5300,695,7,11439
79308,18000,12.12%,36 months,10.08%,RENT,6666.67,705,13,17773
3162,6000,11.89%,36 months,9.77%,RENT,4166.67,695,13,15377
42828,16000,8.90%,36 months,14.85%,RENT,5750,725,7,14431
72220,35000,23.28%,60 months,15.95%,MORTGAGE,8333.33,675,8,11229
51394,10000,6.62%,36 months,3.16%,RENT,13166.67,735,13,5643
69651,21000,24.70%,60 months,25.87%,RENT,9166.67,675,25,17811
54274,8000,12.12%,36 months,7.90%,MORTGAGE,4166.67,705,6,7419
37228,33600,20.30%,60 months,13.56%,MORTGAGE,20000,695,12,17285
2178,11050,14.74%,36 months,15.47%,RENT,5250,675,12,27780
76450,16000,15.31%,36 months,19%,MORTGAGE,7666.67,695,16,43692
37585,15000,14.65%,60 months,17.21%,RENT,4583.33,730,4,13115
73523,12000,14.33%,36 months,13.53%,MORTGAGE,8000,685,13,12968
103275,4000,14.96%,36 months,4.76%,RENT,1700,670,4,2381
45094,12000,17.99%,36 months,19.89%,RENT,5129,660,8,8923
18688,12000,10.36%,36 months,11.92%,MORTGAGE,10333.33,690,16,8987
27095,7500,5.42%,36 months,22.26%,MORTGAGE,2583.33,785,11,2160
14887,24000,7.88%,36 months,14.41%,MORTGAGE,11666.67,785,10,33122
74945,16000,15.31%,36 months,19.92%,RENT,6000,690,11,10915
48854,12200,21.48%,60 months,9.12%,RENT,6666.67,695,9,17282
82729,12000,10.16%,36 months,11.93%,RENT,8054.5,710,13,14986
89068,12000,15.31%,36 months,25.86%,OWN,3333.33,665,9,10310
31343,9800,5.99%,36 months,14.44%,MORTGAGE,6666.67,765,5,11466
11258,7000,14.72%,36 months,11.39%,MORTGAGE,6833,670,11,5537
32181,NA,11.71%,36 months,2.18%,RENT,5500,720,3,5623
62270,10000,13.11%,36 months,19.38%,MORTGAGE,4958.33,710,9,24598
29653,17000,11.99%,60 months,12.69%,MORTGAGE,4666.67,745,17,11677
57430,18000,19.22%,60 months,16.04%,MORTGAGE,4666.67,675,14,14878
840,15600,11.97%,36 months,6.65%,MORTGAGE,15000,680,14,20237
1439,16750,12.41%,36 months,24.75%,RENT,3750,720,6,28116
74632,7200,12.12%,36 months,18.61%,OWN,3208.33,680,8,9849
30753,1500,12.99%,36 months,20.60%,MORTGAGE,5000,690,15,38176
79198,13600,12.12%,36 months,20.94%,MORTGAGE,5416.67,685,15,17117
48489,30000,24.33%,60 months,11.24%,RENT,11250,670,12,41592
98141,10000,17.77%,36 months,26.32%,RENT,2500,680,6,17543
103353,10000,10.25%,36 months,13.98%,MORTGAGE,5916.67,730,8,6639
37906,10000,11.71%,36 months,5.98%,MORTGAGE,3746.58,695,5,9005
3178,7000,13.16%,36 months,22.32%,MORTGAGE,3041.67,700,13,15394
33208,4700,7.90%,36 months,10.65%,RENT,3416.67,760,3,2297
32809,21200,9.91%,36 months,25.23%,MORTGAGE,7916.67,720,18,7252
80071,15000,19.05%,36 months,14.49%,RENT,5000,665,12,10679
22637,2800,14.17%,36 months,0%,MORTGAGE,3458,680,3,0
103450,15000,13.11%,36 months,13.75%,MORTGAGE,4166.67,700,11,8014
91807,24925,11.14%,60 months,24.80%,MORTGAGE,6250,735,20,19245
34367,15000,11.71%,36 months,20.70%,OWN,5416.67,705,20,25464
33046,9100,6.03%,36 months,14.66%,MORTGAGE,3500,780,18,4315
79981,12000,12.12%,36 months,22.98%,RENT,5416.67,690,7,13234
63703,16250,23.28%,60 months,11.67%,OWN,4300,660,10,16444
86783,25000,18.49%,60 months,10.08%,RENT,7666.67,715,12,14631
90684,30000,15.31%,36 months,7.25%,MORTGAGE,9000,660,8,19430
1316,4800,11.59%,36 months,13.19%,MORTGAGE,7083.33,680,21,44198
54430,3000,12.12%,36 months,14.93%,RENT,6333.33,680,13,8682
4691,17000,12.18%,36 months,15.80%,MORTGAGE,5292,715,9,21441
8716,12000,17.56%,36 months,21.81%,MORTGAGE,5833.33,680,10,11074
88420,27575,19.05%,60 months,10.61%,MORTGAGE,13125,670,16,25980
73164,5000,8.90%,36 months,21.47%,RENT,3000,715,4,12841
59593,9000,13.11%,36 months,12.67%,RENT,3466.67,680,13,11103
12157,12000,13.23%,60 months,20.76%,MORTGAGE,5683,730,15,21583
57551,16500,7.90%,36 months,27.23%,RENT,4583.33,760,11,8176
2768,18000,11.89%,36 months,22.30%,MORTGAGE,6000,745,16,23518
34282,30000,18.64%,60 months,4.47%,MORTGAGE,5833.33,720,7,9249
55478,30000,20.50%,60 months,10.80%,RENT,7083.33,705,12,9121
3362,10000,13.16%,36 months,24.47%,RENT,3583.33,680,16,10193
88001,12000,15.80%,36 months,9.33%,MORTGAGE,10000,675,11,22312
74388,10000,10.16%,36 months,13.11%,RENT,4285.5,710,17,11724
46215,3800,14.65%,36 months,22.58%,RENT,3666.67,670,11,13883
98493,18775,10.16%,36 months,25.33%,MORTGAGE,5850,715,20,27573
79371,7200,17.27%,36 months,20.48%,RENT,2500,670,14,4539
31004,25450,13.99%,60 months,26.38%,RENT,4416.67,720,13,31828
14434,6000,11.12%,36 months,20.59%,OWN,5750,705,18,21440
28732,8000,5.99%,36 months,9.59%,MORTGAGE,7250,760,6,4938
41109,10000,14.27%,36 months,16.61%,MORTGAGE,4083.33,675,15,6418
41813,4800,14.65%,60 months,22.38%,RENT,3333,695,7,4147
75793,7000,12.12%,36 months,12.49%,RENT,5166.67,675,12,10513
87367,9975,7.90%,36 months,7.13%,MORTGAGE,5000,720,17,9773
59735,30075,22.95%,60 months,21.54%,MORTGAGE,5083.33,680,17,20976
28642,10000,10.59%,36 months,17.08%,MORTGAGE,8333.33,710,9,92399
80359,30000,12.12%,60 months,10.97%,MORTGAGE,5833.33,750,8,10787
96479,16000,17.27%,60 months,8.44%,RENT,4666.67,695,9,15200
66710,21200,18.49%,36 months,30.62%,RENT,4500,675,15,17250
12150,6500,7.51%,36 months,1.50%,MORTGAGE,3208.33,805,5,269
59160,19000,9.76%,36 months,16.43%,RENT,3833.33,725,10,22033
2148,6500,11.89%,36 months,8.57%,RENT,1750,720,8,9317
100595,1500,21.49%,36 months,13.59%,RENT,3583.33,685,7,4747
74460,24000,23.63%,60 months,25.07%,MORTGAGE,11666.67,660,21,9733
81422,20000,18.75%,36 months,17.36%,RENT,8333.33,675,9,31870
39548,10000,13.49%,36 months,5.88%,MORTGAGE,4166.67,695,5,8899
338,10000,9.20%,36 months,0.33%,RENT,13750,730,5,45
71492,10000,11.14%,60 months,15.82%,RENT,3250,795,5,11319
39989,9000,19.91%,60 months,15.74%,MORTGAGE,4333.33,670,9,5015
7558,4200,11.36%,36 months,7.49%,MORTGAGE,2750,685,12,4898
77844,6625,17.77%,36 months,33.43%,RENT,2916.67,665,13,11369
36497,15000,15.96%,36 months,4.32%,MORTGAGE,8833.33,680,6,113
33013,3825,14.27%,36 months,24.68%,RENT,2495.83,670,8,4560
15538,4200,9.25%,36 months,15.83%,MORTGAGE,7000,700,8,7167
101027,17325,8.90%,36 months,18.28%,MORTGAGE,3333.33,725,17,11327
79542,25000,18.49%,60 months,27.56%,MORTGAGE,8606.56,720,11,15210
25800,8000,17.49%,36 months,18.72%,RENT,2083.33,695,4,20802
87287,12000,6.62%,36 months,12.36%,RENT,4416.67,765,12,4117
33228,5000,6.03%,36 months,15.74%,RENT,3125,765,11,4557
27391,14000,9.99%,36 months,16.84%,RENT,4583.33,750,4,25
49367,30000,22.78%,36 months,17.90%,RENT,8791.67,660,13,28012
93501,10750,8.90%,36 months,6.04%,OWN,2750,765,5,4693
32119,24000,12.99%,60 months,15.54%,MORTGAGE,8333.33,740,24,56984
70177,10000,15.31%,36 months,19.98%,MORTGAGE,6041.67,670,7,6458
77324,16550,17.27%,36 months,32.56%,MORTGAGE,4333.33,675,15,12163
31805,3300,5.99%,36 months,11.04%,MORTGAGE,2500,740,9,11144
84318,8000,14.09%,36 months,21%,OWN,3500,675,12,7498
27415,35000,16.89%,60 months,16.84%,RENT,5416.67,745,5,39934
40866,14000,10.65%,36 months,24.53%,RENT,3200,720,7,21214
91596,18000,8.90%,60 months,5.30%,MORTGAGE,8333.33,755,8,5211
